	Mass	       Radius	   Mag Field	 Alpha_BL	Mdot		Epsilon		GammaPhi	Delta	   Deltanu/1000	      Nu1	   DNu/Nu1	  Delta*R_in	R_in/R_ISCO    R_in/R_*
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.24315E-02    4.95711E-02    1.17547E-01    1.15303E-01    3.17292E-01    4.85294E-01    6.53814E-01    3.44103E-01    6.71138E+00    2.71303E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.24315E-02    5.19576E-02    1.05733E-01    1.20855E-01    3.29292E-01    4.37255E-01    7.53089E-01    3.60669E-01    6.71138E+00    2.71303E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.24315E-02    4.53572E-02    1.24735E-01    1.05502E-01    3.09991E-01    5.40196E-01    5.73849E-01    3.14852E-01    6.71138E+00    2.71303E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.27479E-02    5.12638E-02    1.22137E-01    1.19241E-01    3.13933E-01    4.84314E-01    6.48201E-01    3.54868E-01    6.69279E+00    2.70551E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.27479E-02    4.13602E-02    1.13091E-01    9.62047E-02    3.23160E-01    5.52941E-01    5.84438E-01    2.86311E-01    6.69279E+00    2.70551E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.27479E-02    5.21299E-02    1.07431E-01    1.21255E-01    3.28933E-01    4.42157E-01    7.43928E-01    3.60863E-01    6.69279E+00    2.70551E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.30643E-02    4.65294E-02    9.77899E-02    1.08228E-01    3.40166E-01    4.61765E-01    7.36665E-01    3.21211E-01    6.67443E+00    2.69809E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.30643E-02    5.21804E-02    1.08403E-01    1.21373E-01    3.29296E-01    4.46078E-01    7.38203E-01    3.60221E-01    6.67443E+00    2.69809E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.30643E-02    5.30835E-02    1.05604E-01    1.23473E-01    3.32163E-01    4.32353E-01    7.68268E-01    3.66456E-01    6.67443E+00    2.69809E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.30643E-02    5.03209E-02    1.25180E-01    1.17047E-01    3.12113E-01    5.00980E-01    6.23005E-01    3.47385E-01    6.67443E+00    2.69809E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.33807E-02    4.65862E-02    1.09746E-01    1.08360E-01    3.29262E-01    4.97059E-01    6.62420E-01    3.20729E-01    6.65629E+00    2.69076E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.33807E-02    5.66467E-02    1.23556E-01    1.31761E-01    3.15060E-01    4.50980E-01    6.98612E-01    3.89991E-01    6.65629E+00    2.69076E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.33807E-02    5.06848E-02    1.33251E-01    1.17894E-01    3.05090E-01    5.17647E-01    5.89378E-01    3.48946E-01    6.65629E+00    2.69076E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.33807E-02    5.01192E-02    1.33275E-01    1.16578E-01    3.05065E-01    5.22549E-01    5.83802E-01    3.45052E-01    6.65629E+00    2.69076E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.36971E-02    4.42812E-02    1.06323E-01    1.02999E-01    3.34130E-01    5.10784E-01    6.54151E-01    3.04039E-01    6.63838E+00    2.68351E+00
